id,solver_id,anon_1,instance,solver_format,runtime,task_id,symbol,result,cut_off,timed_out,exit_with_error,error_code,additional_argument,benchmark_id,correct,validated,benchmark_name,tag
2999,1,MY_SOLVER_2_1.4,C-1-WS_200_28_70_10.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3000,1,MY_SOLVER_2_1.4,C-1-grd_489_5_8.apx,apx,0.012807399999985591,2,EE-CO,"[[a407,a427,a428,a303,a420,a422,a418,a412,a411,a449,a329,a446,a448,a443,a444,a439,a435,a437,a430,a432,a225,a467,a469,a107,a100,a463,a464,a456,a457,a337,a458,a453,a455,a481,a361,a242,a480,a127,a364,a485,a486,a487,a488,a471,a478,a479,a359,a474,a475,a476,a235,a264,a133,a255,a35,a287,a396,a391,a159,a80]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3001,1,MY_SOLVER_2_1.4,C-1-grd_8034_1_2.apx,apx,0.6191055000000176,2,EE-CO,"[[a7996,a7998,a7999,a5328,a7991,a7992,a7993,a7985,a7986,a7987,a7988,a7980,a7981,a7984,a7974,a7976,a7977,a7979,a6649,a5309,a7970,a7971,a5302,a7972,a7973,a7967,a7969,a5372,a4024,a6677,a7911,a7912,a7916,a7918,a7900,a7903,a7907,a7909,a7960,a7961,a7962,a7952,a7953,a7954,a7955,a7959,a7950,a7951,a7943,a7944,a7947,a7949,a6619,a7940,a6600,a7931,a7932,a7934,a6604,a7937,a7938,a7939,a7920,a7922,a7926,a7927,a1866,a4094,a4081,a1839,a1821,a5216,a7883,a7875,a7876,a7878,a7879,a5207,a7870,a7874,a7868,a7869,a7853,a7854,a7856,a6526,a7857,a7858,a7850,a7851,a7842,a7845,a5259,a7899,a7890,a7891,a7893,a7894,a7895,a7887,a6557,a7831,a7834,a7823,a7827,a7810,a7815,a7816,a7818,a7819,a7800,a7802,a7804,a1717,a4238,a6893,a4265,a6802,a6873,a6860,a5530,a6857,a5511,a6848,a5509,a5505,a6903,a6905,a4124,a6782,a6778,a4108,a4103,a6773,a5442,a5425,a6763,a4166,a6701,a6750,a6720,a6726,a6717,a4187,a4494,a3149,a5789,a3175,a3116,a5773,a8031,a8030,a8033,a8032,a8029,a8020,a8022,a8021,a8024,a8023,a8026,a8025,a8028,a8027,a8019,a8018,a5815,a8011,a8010,a8013,a8012,a8015,a8014,a8017,a8016,a8008,a8007,a8009,a8002,a8004,a8003,a8005,a5671,a4377,a5616,a6947,a6932,a6936,a6938,a6939,a6921,a4327,a6990,a6991,a6993,a6989,a5641,a6968,a199,a3397,a3393,a2098,a2080,a4650,a3351,a4671,a248,a269,a5855,a3243,a320,a5886,a313,a4538,a389,a5934,a5916,a5907,a5906,a4867,a3582,a450,a3567,a4916,a7185,a7189,a7175,a3637,a4946,a3609,a7125,a7111,a7107,a7100,a7163,a7156,a7159,a7143,a7146,a7139,a7132,a7134,a3490,a4756,a4739,a2145,a3476,a552,a3447,a579,a7062,a7056,a4826,a7096,a7099,a7042,a7045,a7048,a7033,a7037,a7038,a7029,a7322,a7319,a3790,a2431,a1175,a1158,a2482,a3837,a6092,a6083,a3878,a2535,a2531,a3859,a3856,a7358,a7354,a7344,a7338,a7333,a7327,a7397,a7381,a7385,a7373,a7379,a1079,a755,a4977,a3641,a2389,a1064,a3689,a3709,a3757,a2417,a3721,a7240,a7230,a7206,a7267,a7268,a7269,a7259,a7250,a7253,a7512,a7519,a7511,a7509,a7562,a7559,a839,a7546,a7534,a6202,a7523,a7524,a2683,a2692,a47,a2758,a1420,a6277,a7593,a7598,a7582,a7585,a6247,a7568,a6293,a6295,a6281,a6288,a6110,a7442,a7444,a6107,a7431,a7433,a7424,a7428,a7410,a2584,a1251,a2559,a1224,a3935,a3999,a3987,a1323,a7483,a7487,a7470,a6141,a7476,a7478,a6137,a6130,a6131,a6121,a7456,a7448,a3901,a7490,a7493,a7760,a7763,a6433,a7756,a6427,a7758,a7743,a6417,a6410,a6411,a7732,a7733,a7736,a6408,a7730,a7723,a6475,a7799,a7793,a7797,a6456,a7789,a7780,a5119,a7786,a6448,a7770,a7775,a7765,a7767,a7720,a7715,a7719,a7700,a7705,a7709,a1653,a2977,a5183,a5176,a6485,a6487,a5151,a7641,a6311,a7635,a7638,a6308,a6301,a7622,a7625,a7604,a7609,a7681,a7683,a6340,a7675,a7676,a7660,a6329,a6321,a7645,a6316,a2794,a1472,a2847,a2846,a2883,a1548,a5045,a7695,a7689,a2826,a5089]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3002,1,MY_SOLVER_2_1.4,C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3003,2,MY_SOLVER_3_1.4,C-1-WS_200_28_70_10.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3004,2,MY_SOLVER_3_1.4,C-1-grd_489_5_8.apx,apx,0.010202500000019654,2,EE-CO,"[[a407,a427,a428,a303,a420,a422,a418,a412,a411,a449,a329,a446,a448,a443,a444,a439,a435,a437,a430,a432,a225,a467,a469,a107,a100,a463,a464,a456,a457,a337,a458,a453,a455,a481,a361,a242,a480,a127,a364,a485,a486,a487,a488,a471,a478,a479,a359,a474,a475,a476,a235,a264,a133,a255,a35,a287,a396,a391,a159,a80]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3005,2,MY_SOLVER_3_1.4,C-1-grd_8034_1_2.apx,apx,0.5357470000000149,2,EE-CO,"[[a7996,a7998,a7999,a5328,a7991,a7992,a7993,a7985,a7986,a7987,a7988,a7980,a7981,a7984,a7974,a7976,a7977,a7979,a6649,a5309,a7970,a7971,a5302,a7972,a7973,a7967,a7969,a5372,a4024,a6677,a7911,a7912,a7916,a7918,a7900,a7903,a7907,a7909,a7960,a7961,a7962,a7952,a7953,a7954,a7955,a7959,a7950,a7951,a7943,a7944,a7947,a7949,a6619,a7940,a6600,a7931,a7932,a7934,a6604,a7937,a7938,a7939,a7920,a7922,a7926,a7927,a1866,a4094,a4081,a1839,a1821,a5216,a7883,a7875,a7876,a7878,a7879,a5207,a7870,a7874,a7868,a7869,a7853,a7854,a7856,a6526,a7857,a7858,a7850,a7851,a7842,a7845,a5259,a7899,a7890,a7891,a7893,a7894,a7895,a7887,a6557,a7831,a7834,a7823,a7827,a7810,a7815,a7816,a7818,a7819,a7800,a7802,a7804,a1717,a4238,a6893,a4265,a6802,a6873,a6860,a5530,a6857,a5511,a6848,a5509,a5505,a6903,a6905,a4124,a6782,a6778,a4108,a4103,a6773,a5442,a5425,a6763,a4166,a6701,a6750,a6720,a6726,a6717,a4187,a4494,a3149,a5789,a3175,a3116,a5773,a8031,a8030,a8033,a8032,a8029,a8020,a8022,a8021,a8024,a8023,a8026,a8025,a8028,a8027,a8019,a8018,a5815,a8011,a8010,a8013,a8012,a8015,a8014,a8017,a8016,a8008,a8007,a8009,a8002,a8004,a8003,a8005,a5671,a4377,a5616,a6947,a6932,a6936,a6938,a6939,a6921,a4327,a6990,a6991,a6993,a6989,a5641,a6968,a199,a3397,a3393,a2098,a2080,a4650,a3351,a4671,a248,a269,a5855,a3243,a320,a5886,a313,a4538,a389,a5934,a5916,a5907,a5906,a4867,a3582,a450,a3567,a4916,a7185,a7189,a7175,a3637,a4946,a3609,a7125,a7111,a7107,a7100,a7163,a7156,a7159,a7143,a7146,a7139,a7132,a7134,a3490,a4756,a4739,a2145,a3476,a552,a3447,a579,a7062,a7056,a4826,a7096,a7099,a7042,a7045,a7048,a7033,a7037,a7038,a7029,a7322,a7319,a3790,a2431,a1175,a1158,a2482,a3837,a6092,a6083,a3878,a2535,a2531,a3859,a3856,a7358,a7354,a7344,a7338,a7333,a7327,a7397,a7381,a7385,a7373,a7379,a1079,a755,a4977,a3641,a2389,a1064,a3689,a3709,a3757,a2417,a3721,a7240,a7230,a7206,a7267,a7268,a7269,a7259,a7250,a7253,a7512,a7519,a7511,a7509,a7562,a7559,a839,a7546,a7534,a6202,a7523,a7524,a2683,a2692,a47,a2758,a1420,a6277,a7593,a7598,a7582,a7585,a6247,a7568,a6293,a6295,a6281,a6288,a6110,a7442,a7444,a6107,a7431,a7433,a7424,a7428,a7410,a2584,a1251,a2559,a1224,a3935,a3999,a3987,a1323,a7483,a7487,a7470,a6141,a7476,a7478,a6137,a6130,a6131,a6121,a7456,a7448,a3901,a7490,a7493,a7760,a7763,a6433,a7756,a6427,a7758,a7743,a6417,a6410,a6411,a7732,a7733,a7736,a6408,a7730,a7723,a6475,a7799,a7793,a7797,a6456,a7789,a7780,a5119,a7786,a6448,a7770,a7775,a7765,a7767,a7720,a7715,a7719,a7700,a7705,a7709,a1653,a2977,a5183,a5176,a6485,a6487,a5151,a7641,a6311,a7635,a7638,a6308,a6301,a7622,a7625,a7604,a7609,a7681,a7683,a6340,a7675,a7676,a7660,a6329,a6321,a7645,a6316,a2794,a1472,a2847,a2846,a2883,a1548,a5045,a7695,a7689,a2826,a5089]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3006,2,MY_SOLVER_3_1.4,C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3007,3,ArgSemSAT_1.4,C-1-WS_200_28_70_10.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3008,3,ArgSemSAT_1.4,C-1-grd_489_5_8.apx,apx,0.015395800000021609,2,EE-CO,"[[a100,a107,a127,a133,a159,a225,a235,a242,a255,a264,a287,a303,a329,a337,a35,a359,a361,a364,a391,a396,a407,a411,a412,a418,a420,a422,a427,a428,a430,a432,a435,a437,a439,a443,a444,a446,a448,a449,a453,a455,a456,a457,a458,a463,a464,a467,a469,a471,a474,a475,a476,a478,a479,a480,a481,a485,a486,a487,a488,a80]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3009,3,ArgSemSAT_1.4,C-1-grd_8034_1_2.apx,apx,0.9649949999999876,2,EE-CO,"[[a1064,a1079,a1158,a1175,a1224,a1251,a1323,a1420,a1472,a1548,a1653,a1717,a1821,a1839,a1866,a199,a2080,a2098,a2145,a2389,a2417,a2431,a248,a2482,a2531,a2535,a2559,a2584,a2683,a269,a2692,a2758,a2794,a2826,a2846,a2847,a2883,a2977,a3116,a313,a3149,a3175,a320,a3243,a3351,a3393,a3397,a3447,a3476,a3490,a3567,a3582,a3609,a3637,a3641,a3689,a3709,a3721,a3757,a3790,a3837,a3856,a3859,a3878,a389,a3901,a3935,a3987,a3999,a4024,a4081,a4094,a4103,a4108,a4124,a4166,a4187,a4238,a4265,a4327,a4377,a4494,a450,a4538,a4650,a4671,a47,a4739,a4756,a4826,a4867,a4916,a4946,a4977,a5045,a5089,a5119,a5151,a5176,a5183,a5207,a5216,a5259,a5302,a5309,a5328,a5372,a5425,a5442,a5505,a5509,a5511,a552,a5530,a5616,a5641,a5671,a5773,a5789,a579,a5815,a5855,a5886,a5906,a5907,a5916,a5934,a6083,a6092,a6107,a6110,a6121,a6130,a6131,a6137,a6141,a6202,a6247,a6277,a6281,a6288,a6293,a6295,a6301,a6308,a6311,a6316,a6321,a6329,a6340,a6408,a6410,a6411,a6417,a6427,a6433,a6448,a6456,a6475,a6485,a6487,a6526,a6557,a6600,a6604,a6619,a6649,a6677,a6701,a6717,a6720,a6726,a6750,a6763,a6773,a6778,a6782,a6802,a6848,a6857,a6860,a6873,a6893,a6903,a6905,a6921,a6932,a6936,a6938,a6939,a6947,a6968,a6989,a6990,a6991,a6993,a7029,a7033,a7037,a7038,a7042,a7045,a7048,a7056,a7062,a7096,a7099,a7100,a7107,a7111,a7125,a7132,a7134,a7139,a7143,a7146,a7156,a7159,a7163,a7175,a7185,a7189,a7206,a7230,a7240,a7250,a7253,a7259,a7267,a7268,a7269,a7319,a7322,a7327,a7333,a7338,a7344,a7354,a7358,a7373,a7379,a7381,a7385,a7397,a7410,a7424,a7428,a7431,a7433,a7442,a7444,a7448,a7456,a7470,a7476,a7478,a7483,a7487,a7490,a7493,a7509,a7511,a7512,a7519,a7523,a7524,a7534,a7546,a755,a7559,a7562,a7568,a7582,a7585,a7593,a7598,a7604,a7609,a7622,a7625,a7635,a7638,a7641,a7645,a7660,a7675,a7676,a7681,a7683,a7689,a7695,a7700,a7705,a7709,a7715,a7719,a7720,a7723,a7730,a7732,a7733,a7736,a7743,a7756,a7758,a7760,a7763,a7765,a7767,a7770,a7775,a7780,a7786,a7789,a7793,a7797,a7799,a7800,a7802,a7804,a7810,a7815,a7816,a7818,a7819,a7823,a7827,a7831,a7834,a7842,a7845,a7850,a7851,a7853,a7854,a7856,a7857,a7858,a7868,a7869,a7870,a7874,a7875,a7876,a7878,a7879,a7883,a7887,a7890,a7891,a7893,a7894,a7895,a7899,a7900,a7903,a7907,a7909,a7911,a7912,a7916,a7918,a7920,a7922,a7926,a7927,a7931,a7932,a7934,a7937,a7938,a7939,a7940,a7943,a7944,a7947,a7949,a7950,a7951,a7952,a7953,a7954,a7955,a7959,a7960,a7961,a7962,a7967,a7969,a7970,a7971,a7972,a7973,a7974,a7976,a7977,a7979,a7980,a7981,a7984,a7985,a7986,a7987,a7988,a7991,a7992,a7993,a7996,a7998,a7999,a8002,a8003,a8004,a8005,a8007,a8008,a8009,a8010,a8011,a8012,a8013,a8014,a8015,a8016,a8017,a8018,a8019,a8020,a8021,a8022,a8023,a8024,a8025,a8026,a8027,a8028,a8029,a8030,a8031,a8032,a8033,a839]]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3010,3,ArgSemSAT_1.4,C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,apx,,2,EE-CO,,1,True,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3011,1,MY_SOLVER_2_1.4,C-1-WS_200_28_70_10.apx,apx,0.006753199999991466,10,SE-CO,[],1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
3012,1,MY_SOLVER_2_1.4,C-1-grd_489_5_8.apx,apx,0.009916599999996834,10,SE-CO,"[a407,a427,a428,a303,a420,a422,a418,a412,a411,a449,a329,a446,a448,a443,a444,a439,a435,a437,a430,a432,a225,a467,a469,a107,a100,a463,a464,a456,a457,a337,a458,a453,a455,a481,a361,a242,a480,a127,a364,a485,a486,a487,a488,a471,a478,a479,a359,a474,a475,a476,a235,a264,a133,a255,a35,a287,a396,a391,a159,a80]",1,False,False,,,1,,False,MY_BENCHMARK_STANDARD,t
